area_type,location,Society,size,Baths,total_sqft,price,availability,,
Built-up Area,Bibwewadi,Park Landmark,3 bhk,3,1115,131.00,Ready to move,,
Built-up Area,Bibwewadi,Park Landmark,2 bhk,2,857,105.00,Ready to move,,
Built-up Area,Bibwewadi,Celia,5 bhk,2,2000,260.00,Ready to move,,
Built-up Area,Bibwewadi,,2 bhk,3,965,95.00,Ready to move,,
Built-up Area,Bibwewadi,Park Landmark,3 bhk,3,1381,180.00,Ready to move,,
Super Built-up Area,Bibwewadi,SBI Nagar,1 bhk,1,560,42.00,Ready to move,,
Super Built-up Area,Bibwewadi,Kenjale Light house,3 bhk,3,1800,225.00,Ready to move,,
Super Built-up Area,Bibwewadi,Kohinoor,2 bhk,2,715,69.50,Under construction,,
Built-up Area,Bibwewadi,Padmavati,3 bhk,3,1042,102.00,Under construction,,
Built-up Area,Bibwewadi,Purple castle,2 bhk,2,900,89.00,Ready to move,,
Built-up Area,Bibwewadi,Park Landmark,3 bhk,3,1122,143.00,Under construction,,
Built-up Area,Bibwewadi,konark,2 bhk,2,1050,98.00,Ready to move,,
Built-up Area,Bibwewadi,,2 bhk,2,929,65.00,Ready to move,,
